phase,T,VM,at comp C,at comp Co,at comp Cr,at comp Mn,at comp N,at comp Ni,at comp Si,dG,precip check,sigma,tau,vf,InterfaceE_chem
BCC_A2,783.15,7.250797322848872e-06,3.1837413580254203e-06,0.0931688912087145,0.0050383006034409,0.0003328849651599,1.2484875785310757e-08,0.0428120127003033,1.416197542526713e-05,,False,,,0.7807164289350643,
CEMENTITE_D011,783.15,6.036817992073116e-06,0.2499999979929631,0.0003051239554477,0.4498680744105708,0.0056326202192754,2.0070368686784003e-09,0.0040882702363945,7.5e-13,-19206.0,True,0.20978,2041.5,0.0,0.14947
FCC_A1#2,783.15,5.283690257928692e-06,0.3003429118891776,1.5486637820181975e-08,0.50115917888098,5.685545381146251e-05,0.1984406614379163,3.7685047418128084e-07,5.01216426672906e-13,-55078.0,True,0.34313,596.64,0.0002007524430871,0.41856
FE4N_LP1,783.15,7.10259456550997e-06,0.1988516600911965,0.0003647942238188,0.0023813362552207,2.23420918802793e-05,0.0011483399088034,0.0028389500854251,0.0,-1469.3,True,0.22471,311320.0,0.0,0.08223
HCP_A3#2,783.15,6.001833415446107e-06,0.3296786698878523,0.0004644020282378,0.6656961143208868,3.0025325273885365e-07,0.0035945775977538,0.0001943388078537,6.66726752514394e-13,-29680.0,True,4.1631,24882.0,0.0,0.03735
KSI_CARBIDE,783.15,7.102594565509971e-06,0.25,0.0,0.1773981966342918,0.0,0.0,0.0,0.0,-5892.0,True,0.17262,4534.5,0.0,0.17274
M23C6_D84,783.15,6.226566213279074e-06,0.2068965517241379,0.0004138146883169,0.4238671721137005,0.0129018348385596,0.0,0.0353535157073725,0.0,-15429.0,True,0.26193,3141.4,0.0,0.20664
M3C2_D510,783.15,7.102594565509968e-06,0.4,2.1116561324516053e-05,0.5999788834386754,0.0,0.0,0.0,0.0,-39865.0,True,0.47353,1572.2,0.0098813367029038,0.47505
M5C2,783.15,5.821333264699611e-06,0.2857142857142857,0.0,0.0,0.0200071148754149,0.0,0.0,0.0,-11711.0,True,0.17849,1114.2,0.0,0.18796
M7C3_D101,783.15,5.87508692879753e-06,0.2999999999999999,0.0008574084587849,0.612197826480318,0.0031484477977562,0.0,0.0013053117589844,6.999999999999998e-13,-27190.0,True,0.41142,2702.6,0.0159263528296965,0.31591
