phase,T,VM,at comp C,at comp Co,at comp Cr,at comp Mn,at comp N,at comp Ni,at comp Si,dG,precip check,sigma,tau,vf,InterfaceE_chem
BCC_A2,867.15,7.278618224785179e-06,2.915416023301044e-05,0.0973060325536099,0.006259380297591,0.0003653953533182,1.07453494823126e-07,0.0423058762730016,5.665013135429326e-05,,False,,,0.674347730015043,
CEMENTITE_D011,867.15,6.038551827293445e-06,0.2499999833897603,0.0014822952364252,0.3325772586052902,0.0046512758020163,1.6610239618804487e-08,0.0052665949542649,7.5e-13,-15295.0,True,0.19117,25.829,0.0,0.14947
FCC_A1#2,867.15,5.287166941212225e-06,0.3260945827896399,2.420820846104764e-07,0.501509828074074,7.477024550810028e-05,0.1723189360404256,1.6407661476512688e-06,5.015864811699345e-13,-45129.0,True,2.4497,81.851,0.0002271285290963,0.41856
FE4N_LP1,867.15,7.120515674929074e-06,0.1987186809655562,0.0003361510296022,0.0013773233333732,1.1467407673350272e-05,0.0012813190344437,0.0014902722183094,0.0,,True,,,0.0,0.08223
HCP_A3#2,867.15,6.016801073180018e-06,0.3296691844187607,0.0013933619950044,0.6636697884203961,7.682976986309588e-07,0.0035880825039187,0.0003915860277492,6.667427330773205e-13,-23635.0,True,0.50107,60.696,0.0,0.03735
KSI_CARBIDE,867.15,7.120515674929074e-06,0.25,0.0,0.1732446276515332,0.0,0.0,0.0,0.0,-3396.7,True,0.17436,131.44,0.0,0.17274
M23C6_D84,867.15,6.204953864914838e-06,0.2068965517241379,0.0014875830916022,0.3369769597440888,0.007508701547282,0.0,0.0366432684770555,0.0,-12302.0,True,0.24352,40.696,0.0,0.20664
M3C2_D510,867.15,7.120515674929073e-06,0.4,8.323076134952887e-05,0.5999167692386506,0.0,0.0,0.0,0.0,-32597.0,True,0.47419,30.375,0.0,0.47505
M5C2,867.15,5.8200956798609815e-06,0.2857142857142857,0.0,0.0,0.0113990782196158,0.0,0.0,0.0,-9447.5,True,0.18017,12.088,0.0,0.18796
M7C3_D101,867.15,5.860837326485317e-06,0.3,0.0021341656202682,0.5059915116599358,0.0032348832861215,0.0,0.0023554186379244,7.000000000000001e-13,-22008.0,True,0.37688,41.443,0.0273700712270743,0.31591
